place_id,name,dow,day,hour,busyness_pct,level,model_version
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,21,31,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,22,24,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,23,24,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,0,13,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,1,5,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,2,6,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,3,6,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,4,5,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,5,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,6,20,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,7,26,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,8,33,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,9,37,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,10,41,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,11,45,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,12,51,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,13,52,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,14,58,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,15,55,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,16,45,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,17,46,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,18,47,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,19,40,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,20,36,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,21,27,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,22,25,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,1,tuesday,23,20,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,0,15,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,1,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,2,8,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,3,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,4,8,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,5,10,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,6,20,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,7,28,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,8,32,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,9,38,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,10,39,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,11,44,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,12,48,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,13,49,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,14,52,busy,gbm_v1
