bbl,latitude,longitude,bldgclass,landuse,lotarea,bldgarea,numfloors,unitsres,unitstotal,yearbuilt,footprint_area
1015800004.0,40.7741341,-73.9480309,C7,4.0,2548.0,8788.0,5.0,8.0,9.0,1910.0,1757.6
1015790012.0,40.7730965,-73.9478404,C1,2.0,2724.0,9055.0,5.0,14.0,14.0,1910.0,1811.0
1015800001.0,40.773964,-73.948208,C7,4.0,1924.0,8975.0,5.0,10.0,12.0,1910.0,1795.0
1015790009.0,40.7731707,-73.9480136,C1,2.0,3031.0,11700.0,5.0,20.0,20.0,1910.0,2340.0
1015620017.0,40.7738576,-73.9496414,C7,4.0,2554.0,8020.0,5.0,20.0,21.0,1910.0,1604.0
1015620015.0,40.7739263,-73.9498002,C7,4.0,2554.0,8020.0,5.0,20.0,21.0,1910.0,1604.0
1015800008.0,40.773854,-73.9476629,C6,2.0,2554.0,9190.0,5.0,15.0,15.0,1925.0,1838.0
1015800033.0,40.7737574,-73.9466484,D4,3.0,10216.0,42250.0,5.0,80.0,80.0,1920.0,8450.0
1010230104.0,40.7629079,-73.9850949,K4,4.0,2568.0,5309.0,3.0,0.0,2.0,1991.0,1769.6666666666667
1019270017.0,40.8071657,-73.9514007,C4,2.0,5046.0,20060.0,5.0,20.0,20.0,1910.0,4012.0
1018630039.0,40.8012823,-73.9623094,C4,2.0,5046.0,19280.0,5.0,19.0,19.0,1900.0,3856.0
1013510043.0,40.7600376,-73.9635745,O8,4.0,2511.0,5550.0,3.0,1.0,2.0,1900.0,1850.0
1006250040.0,40.7378519,-74.0047704,S1,4.0,860.0,2560.0,3.0,1.0,2.0,1845.0,853.3333333333334
1014470018.0,40.7683764,-73.956642,M1,8.0,2861.0,7392.0,4.0,0.0,1.0,1920.0,1848.0
1015540023.0,40.7803835,-73.9472208,D4,3.0,10000.0,244249.0,32.0,110.0,111.0,2007.0,7632.78125
1019220154.0,40.8045126,-73.9540756,B2,1.0,1817.0,3660.0,3.0,2.0,2.0,2003.0,1220.0
1010780111.0,40.7650249,-73.9939605,C4,2.0,2510.0,9525.0,5.0,20.0,20.0,1901.0,1905.0
1010770001.0,40.7647422,-73.9948883,G8,5.0,30765.0,16268.0,2.0,0.0,1.0,1984.0,8134.0
1010940027.0,40.7637871,-73.9966464,G8,5.0,17225.0,20000.0,1.0,0.0,1.0,1955.0,20000.0
1010770057.0,40.7647449,-73.9944768,C4,2.0,2510.0,8800.0,5.0,20.0,20.0,1909.0,1760.0
1010940011.0,40.7644706,-73.9980867,GW,5.0,5021.0,2875.0,1.0,0.0,1.0,1940.0,2875.0
1010750029.0,40.7624393,-73.9938308,D6,4.0,5021.0,25617.0,8.0,20.0,21.0,2012.0,3202.125
1010750045.0,40.7630954,-73.9944408,C7,4.0,2510.0,7175.0,5.0,8.0,10.0,1910.0,1435.0
1010750015.0,40.7629993,-73.9949751,E9,6.0,5021.0,12500.0,3.0,0.0,2.0,1887.0,4166.666666666667
1004610003.0,40.7278169,-73.9907708,H2,5.0,11662.0,91948.0,21.0,4.0,149.0,2006.0,4378.476190476191
1004610006.0,40.7280749,-73.9906409,H8,8.0,4837.0,45082.0,13.0,0.0,56.0,2014.0,3467.846153846154
1004640039.0,40.7289502,-73.9878626,P8,8.0,2400.0,5066.0,3.0,0.0,1.0,1884.0,1688.6666666666667
1004640048.0,40.7292522,-73.9886022,K2,5.0,8801.0,15851.0,7.0,0.0,5.0,1920.0,2264.4285714285716
1017080124.0,40.7941663,-73.9341578,C3,2.0,946.0,2400.0,3.0,4.0,4.0,1900.0,800.0
1004640006.0,40.7297298,-73.9892624,K2,5.0,8775.0,18164.0,15.0,0.0,6.0,1920.0,1210.9333333333334
1004640019.0,40.7295513,-73.9885841,S2,4.0,1575.0,4914.0,4.0,2.0,3.0,1901.0,1228.5
1004640058.0,40.7295157,-73.9892733,C7,4.0,2375.0,8845.0,5.0,15.0,17.0,1920.0,1769.0
1004630007.0,40.729255,-73.9897712,H3,5.0,6216.0,20814.0,4.0,0.0,7.0,1925.0,5203.5
1004630011.0,40.7291452,-73.9896377,K4,4.0,3120.0,10036.0,3.5,5.0,7.0,1831.0,2867.4285714285716
1004630017.0,40.7289393,-73.9891471,C7,4.0,3120.0,11908.0,5.0,18.0,20.0,1900.0,2381.6
1004640016.0,40.7296392,-73.9887898,K4,4.0,1350.0,3564.0,3.0,2.0,3.0,1900.0,1188.0
1004640020.0,40.729469,-73.9883857,G1,10.0,7875.0,22460.0,4.0,0.0,2.0,1926.0,5615.0
1004640025.0,40.7293701,-73.9881548,K4,4.0,3150.0,12601.0,4.0,1.0,9.0,1920.0,3150.25
1004640027.0,40.7293564,-73.9880321,G9,7.0,1192.0,2384.0,2.0,0.0,2.0,1900.0,1192.0
1004640044.0,40.7290765,-73.9881837,C7,4.0,2912.0,9860.0,4.0,16.0,20.0,1900.0,2465.0
1004640057.0,40.7295047,-73.9891831,C7,4.0,1626.0,10216.0,5.0,20.0,22.0,1900.0,2043.2
1004640059.0,40.7295652,-73.9894934,O6,5.0,6921.0,60528.0,9.0,0.0,2.0,2023.0,6725.333333333333
1004640132.0,40.7293674,-73.9879058,K1,5.0,112.0,220.0,1.0,0.0,1.0,1920.0,220.0
1004500010.0,40.7287799,-73.986773,C0,2.0,2013.0,6875.0,4.0,3.0,3.0,1901.0,1718.75
1004640045.0,40.7291122,-73.9882703,C4,2.0,2934.0,5704.0,4.0,8.0,9.0,1900.0,1426.0
1004640047.0,40.7291808,-73.9884363,S9,4.0,2934.0,9659.0,4.0,3.0,5.0,1920.0,2414.75
1004640051.0,40.7293208,-73.988761,C7,4.0,2934.0,12861.0,6.0,22.0,24.0,1900.0,2143.5
1004640036.0,40.7291203,-73.9877363,C7,4.0,2790.0,12822.0,6.0,20.0,21.0,1900.0,2137.0
1004640015.0,40.7296639,-73.9888511,S4,4.0,1575.0,3729.0,3.0,4.0,5.0,1900.0,1243.0
